,game_code,date,team,side,opp,PA,AB,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest,w_park_factor,r_wOBA,r_PA,r_1B_PA,r_2B_PA,r_3B_PA,r_HR_PA,r_BB_PA,r_IBB_PA,r_HBP_PA,r_GDP_PA,r_K_PA,r_SF_PA,r_avg_pf,h_wOBA,h_PA,h_1B_PA,h_2B_PA,h_3B_PA,h_HR_PA,h_BB_PA,h_IBB_PA,h_HBP_PA,h_GDP_PA,h_K_PA,h_SF_PA,h_avg_pf
0,MIL-2017-04-24,2017-04-24,CIN,A,MIL,8,8,2.2,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,99,808,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TBR-2017-06-20,2017-06-20,CIN,A,TBR,3,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,56,288,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,89.778
2,TBR-2017-06-21,2017-06-21,CIN,A,TBR,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,288,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,72.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,91.333
3,WSN-2017-06-24,2017-06-24,CIN,A,WSN,9,7,2.0,1,1,0,0,1,2,0,2,0,0,0,1,4,1,0,2,918,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,82.286,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,92.267
4,CIN-2017-06-29,2017-06-29,CIN,H,MIL,9,8,2.1,1,1,0,0,1,1,0,4,0,0,0,2,2,1,0,4,918,0.224,16,0.0,0.0,0.0,0.062,0.125,0.0,0.0,0.0,0.188,0.0,93.375,0.148,24,0.0,0.0,0.0,0.042,0.083,0.0,0.0,0.0,0.333,0.0,95.917
5,COL-2017-07-05,2017-07-05,CIN,A,COL,6,5,1.2,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,5,690,0.252,25,0.0,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.28,0.0,96.48,0.191,33,0.0,0.0,0.0,0.061,0.091,0.0,0.0,0.0,0.364,0.0,97.576
6,ARI-2017-07-08,2017-07-08,CIN,A,ARI,5,3,1.0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,2,2,525,0.224,31,0.0,0.0,0.0,0.065,0.129,0.0,0.0,0.0,0.323,0.0,100.065,0.179,39,0.0,0.0,0.0,0.051,0.103,0.0,0.0,0.0,0.385,0.0,100.256
7,CIN-2017-07-14,2017-07-14,CIN,H,WSN,3,2,0.2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,5,306,0.28,30,0.0,0.0,0.0,0.067,0.2,0.0,0.0,0.0,0.3,0.0,101.7,0.19,44,0.0,0.0,0.0,0.045,0.136,0.0,0.0,0.0,0.341,0.0,100.795
8,CIN-2017-07-16,2017-07-16,CIN,H,WSN,8,7,2.0,1,1,0,0,1,1,0,3,0,0,0,2,2,1,0,1,816,0.275,24,0.042,0.0,0.0,0.042,0.208,0.0,0.0,0.0,0.292,0.0,101.625,0.212,47,0.021,0.0,0.0,0.043,0.149,0.0,0.0,0.0,0.319,0.0,100.872
9,CIN-2017-07-20,2017-07-20,CIN,H,ARI,9,7,1.0,6,4,1,0,2,2,0,3,0,0,0,0,4,1,0,3,918,0.287,23,0.043,0.0,0.0,0.043,0.217,0.0,0.0,0.0,0.261,0.0,101.609,0.231,55,0.018,0.0,0.0,0.055,0.145,0.0,0.0,0.0,0.327,0.0,101.036
